Subject,Course Number,Section,CRN,Course Title,Credit Hours,Campus,Schedule Type,Instructor,Attribute Type,Reserved Seats,Linked Sections,Unnamed: 12,Days,Start Time,End Time,Building,Room,Start Date,End Date,Total Enrolled,Open Enrolled,Total Waitlist,Open Waitlist
SPED,2100,1,10245,Exceptionality in Schools & Society,3,Main Campus or Dubois Campus,Lecture,Guofeng Shen (Primary),,,,,"Monday,Wednesday",10:45 AM,12:00 PM,McEniry,117,08/17/2026,12/10/2026,40,6,,
STAT,2122,3,11306,Intro to Prob & Stat,3,Main Campus or Dubois Campus,Lecture,Zhiyi Zhang (Primary),,,,,"Monday,Wednesday,Friday",1:25 PM,2:15 PM,McEniry,117,08/17/2026,12/10/2026,75,55,,
STAT,2122,4,11357,Intro to Prob & Stat,3,Main Campus or Dubois Campus,Lecture,,,,,,"Tuesday,Thursday",1:00 PM,2:15 PM,McEniry,117,08/17/2026,12/10/2026,75,24,,
STAT,3110,2,11644,Applied Regression,3,Main Campus or Dubois Campus,Lecture,Wenyu Gao (Primary),,,,,"Monday,Wednesday",4:00 PM,5:15 PM,McEniry,123,08/17/2026,12/10/2026,45,13,,
STAT,4115,1,16576,Statistical Machine Learning,3,Main Campus or Dubois Campus,Lecture,Hee Cheol Chung (Primary),,,,,"Tuesday,Thursday",11:30 AM,12:45 PM,McEniry,401,08/17/2026,12/10/2026,40,35,,
THEA,4001,1,17221,Topics in Theatre: Around the World in 80 Comics,3,Main Campus or Dubois Campus,Lecture,Rob Conkie (Primary),,,,,"Monday,Wednesday",4:00 PM,5:15 PM,McEniry,124,08/17/2026,12/10/2026,15,8,,
UCOL,1200,3,17749,First-Year Seminar,3,Main Campus or Dubois Campus,Lecture,Nicole Montgomery (Primary),,,,,"Monday,Wednesday,Friday",12:20 PM,1:10 PM,McEniry,116,08/17/2026,12/10/2026,35,35,,
WRDS,1103,8,11896,Writing and Inquiry in Academic Contexts I and II,3,Main Campus or Dubois Campus,Lecture,Suzanne Thomas (Primary),Student Data Mart - Gen Ed,,,,"Monday,Wednesday,Friday",9:05 AM,9:55 AM,McEniry,405,08/17/2026,12/10/2026,5,0,,
WRDS,1103,13,11903,Writing and Inquiry in Academic Contexts I and II,3,Main Campus or Dubois Campus,Lecture,Janyce Wardlaw (Primary),Student Data Mart - Gen Ed,,,,"Monday,Wednesday,Friday",11:15 AM,12:05 PM,McEniry,405,08/17/2026,12/10/2026,5,0,,
WRDS,1103,15,12662,Writing and Inquiry in Academic Contexts I and II,3,Main Campus or Dubois Campus,Lecture,Megan Keaton (Primary),Student Data Mart - Gen Ed,,,,"Tuesday,Thursday",1:00 PM,2:15 PM,McEniry,405,08/17/2026,12/10/2026,5,0,,
WRDS,1103,23,12663,Writing and Inquiry in Academic Contexts I and II,3,Main Campus or Dubois Campus,Lecture,Aaron Kashtan (Primary),Student Data Mart - Gen Ed,,,,"Monday,Wednesday,Friday",10:10 AM,11:00 AM,McEniry,405,08/17/2026,12/10/2026,5,0,,
WRDS,1103,26,12778,Writing and Inquiry in Academic Contexts I and II,3,Main Campus or Dubois Campus,Lecture,Kendyl Harmeling (Primary),Student Data Mart - Gen Ed,,,,"Tuesday,Thursday",8:30 AM,9:45 AM,McEniry,405,08/17/2026,12/10/2026,5,0,,
WRDS,1103,52,12787,Writing and Inquiry in Academic Contexts I and II,3,Main Campus or Dubois Campus,Lecture,Aaron Kashtan (Primary),Student Data Mart - Gen Ed,,,,"Tuesday,Thursday",11:30 AM,12:45 PM,McEniry,127,08/17/2026,12/10/2026,5,0,,
WRDS,1104,10,11930,Writing and Inquiry in Academic Contexts I and II with Studio,4,Main Campus or Dubois Campus,Lecture,Julie Cook (Primary),Student Data Mart - Gen Ed,,,,"Tuesday,Thursday",2:30 PM,3:45 PM,McEniry,405,08/17/2026,12/10/2026,5,0,,
WRDS,1104,11,11931,Writing and Inquiry in Academic Contexts I and II with Studio,4,Main Campus or Dubois Campus,Lecture,Julie Cook (Primary),Student Data Mart - Gen Ed,,,,"Tuesday,Thursday",4:00 PM,5:15 PM,McEniry,405,08/17/2026,12/10/2026,5,0,,
WRDS,1104,12,11932,Writing and Inquiry in Academic Contexts I and II with Studio,4,Main Campus or Dubois Campus,Lecture,Julie Cook (Primary),Student Data Mart - Gen Ed,,,,Thursday,5:30 PM,8:15 PM,McEniry,405,08/17/2026,12/10/2026,5,4,,
WRDS,1104,18,13161,Writing and Inquiry in Academic Contexts I and II with Studio,4,Main Campus or Dubois Campus,Lecture,Adam Sandlin (Primary),Student Data Mart - Gen Ed,,,,"Monday,Wednesday,Friday",12:20 PM,1:10 PM,McEniry,405,08/17/2026,12/10/2026,5,0,,
WRDS,1104,19,13171,Writing and Inquiry in Academic Contexts I and II with Studio,4,Main Campus or Dubois Campus,Lecture,Adam Sandlin (Primary),Student Data Mart - Gen Ed,,,,"Monday,Wednesday,Friday",1:25 PM,2:15 PM,McEniry,405,08/17/2026,12/10/2026,5,0,,
HLTH,3103,1,11195,Beh Change Theories & Practice,3,Main Campus or Dubois Campus,Lecture,Lorenzo Hopper (Primary),,,,,"Monday,Wednesday",4:00 PM,5:15 PM,McEniry,116,08/17/2026,12/10/2026,85,16,,
PPOL,8610,1,16071,The Urban Region,3,Main Campus or Dubois Campus,Lecture,Colleen Hammelman (Primary),,,,,Wednesday,2:30 PM,5:15 PM,McEniry,117,08/17/2026,12/10/2026,5,5,,
RELS,3260,1,13950,Buddhism in the Modern World,3,Main Campus or Dubois Campus,Lecture,Alexandra Kaloyanides (Primary),Cultural Analysis - RELS,,,,"Tuesday,Thursday",11:30 AM,12:45 PM,McEniry,118,08/17/2026,12/10/2026,30,17,3,3
