x,y,z,u,v,w
-50.0,-5.0,-55.0,-0.056709,-0.020015,0.074454
-50.0,-5.0,-54.0,-0.056723,-0.02002,0.075508
-50.0,-5.0,-53.0,-0.056727,-0.020021,0.076579
-50.0,-5.0,-52.0,-0.056722,-0.020019,0.077667
-50.0,-5.0,-51.0,-0.056706,-0.020014,0.078773
-50.0,-5.0,-50.0,-0.05668,-0.020005,0.079897
-50.0,-5.0,-49.0,-0.056643,-0.019992,0.081039
-50.0,-5.0,-48.0,-0.056595,-0.019975,0.082199
-50.0,-5.0,-47.0,-0.056536,-0.019954,0.083378
-50.0,-5.0,-46.0,-0.056464,-0.019928,0.084575
-50.0,-5.0,-45.0,-0.056379,-0.019899,0.085791
-50.0,-5.0,-44.0,-0.056282,-0.019864,0.087026
-50.0,-5.0,-43.0,-0.05617,-0.019825,0.08828
-50.0,-5.0,-42.0,-0.056045,-0.019781,0.089554
-50.0,-5.0,-41.0,-0.055905,-0.019731,0.090847
-50.0,-5.0,-40.0,-0.055751,-0.019677,0.092161
-50.0,-5.0,-39.0,-0.05558,-0.019617,0.093493
-50.0,-5.0,-38.0,-0.055394,-0.019551,0.094846
-50.0,-5.0,-37.0,-0.055191,-0.019479,0.09622
-50.0,-5.0,-36.0,-0.05497,-0.019401,0.097613
-50.0,-5.0,-35.0,-0.054732,-0.019317,0.099027
-50.0,-5.0,-34.0,-0.054476,-0.019227,0.100461
-50.0,-5.0,-33.0,-0.0542,-0.019129,0.101916
-50.0,-5.0,-32.0,-0.053905,-0.019025,0.103392
-50.0,-5.0,-31.0,-0.05359,-0.018914,0.104888
-50.0,-5.0,-30.0,-0.053254,-0.018795,0.106406
-50.0,-5.0,-29.0,-0.052896,-0.018669,0.107944
-50.0,-5.0,-28.0,-0.052517,-0.018535,0.109503
-50.0,-5.0,-27.0,-0.052115,-0.018393,0.111083
-50.0,-5.0,-26.0,-0.051689,-0.018243,0.112684
-50.0,-5.0,-25.0,-0.05124,-0.018085,0.114306
-50.0,-5.0,-24.0,-0.050766,-0.017917,0.115948
-50.0,-5.0,-23.0,-0.050266,-0.017741,0.117612
-50.0,-5.0,-22.0,-0.04974,-0.017555,0.119296
-50.0,-5.0,-21.0,-0.049188,-0.01736,0.121
-50.0,-5.0,-20.0,-0.048608,-0.017156,0.122725
-50.0,-5.0,-19.0,-0.048,-0.016941,0.124471
-50.0,-5.0,-18.0,-0.047364,-0.016717,0.126237
-50.0,-5.0,-17.0,-0.046698,-0.016482,0.128022
-50.0,-5.0,-16.0,-0.046001,-0.016236,0.129828
-50.0,-5.0,-15.0,-0.045274,-0.015979,0.131653
-50.0,-5.0,-14.0,-0.044515,-0.015711,0.133497
-50.0,-5.0,-13.0,-0.043724,-0.015432,0.13536
-50.0,-5.0,-12.0,-0.042901,-0.015141,0.137242
-50.0,-5.0,-11.0,-0.042043,-0.014839,0.139143
-50.0,-5.0,-10.0,-0.041151,-0.014524,0.141062
-50.0,-5.0,-9.0,-0.040224,-0.014197,0.142998
-50.0,-5.0,-8.0,-0.039262,-0.013857,0.144952
-50.0,-5.0,-7.0,-0.038264,-0.013505,0.146922
-50.0,-5.0,-6.0,-0.037228,-0.013139,0.148909
-50.0,-5.0,-5.0,-0.036155,-0.012761,0.150912
-50.0,-5.0,-4.0,-0.035044,-0.012369,0.152931
-50.0,-5.0,-3.0,-0.033894,-0.011963,0.154964
-50.0,-5.0,-2.0,-0.032705,-0.011543,0.157012
-50.0,-5.0,-1.0,-0.031477,-0.011109,0.159074
-50.0,-5.0,0.0,-0.030207,-0.010661,0.161149
-50.0,-5.0,1.0,-0.028897,-0.010199,0.163237
-50.0,-5.0,2.0,-0.027546,-0.009722,0.165337
-50.0,-5.0,3.0,-0.026153,-0.00923,0.167448
-50.0,-5.0,4.0,-0.024717,-0.008724,0.16957
-50.0,-5.0,5.0,-0.023239,-0.008202,0.171702
-50.0,-5.0,6.0,-0.021718,-0.007665,0.173844
-50.0,-5.0,7.0,-0.020153,-0.007113,0.175994
-50.0,-5.0,8.0,-0.018545,-0.006545,0.178152
-50.0,-5.0,9.0,-0.016892,-0.005962,0.180318
-50.0,-5.0,10.0,-0.015195,-0.005363,0.182489
-50.0,-5.0,11.0,-0.013454,-0.004748,0.184667
