x,y,z,u,v,w
-50.0,-5.0,-55.0,0.218104,0.0,-0.205987
-50.0,-5.0,-54.0,0.215778,0.0,-0.208422
-50.0,-5.0,-53.0,0.213369,0.0,-0.210888
-50.0,-5.0,-52.0,0.210873,0.0,-0.213384
-50.0,-5.0,-51.0,0.208288,0.0,-0.215908
-50.0,-5.0,-50.0,0.205609,0.0,-0.21846
-50.0,-5.0,-49.0,0.202835,0.0,-0.221038
-50.0,-5.0,-48.0,0.199962,0.0,-0.223641
-50.0,-5.0,-47.0,0.196985,0.0,-0.226267
-50.0,-5.0,-46.0,0.193903,0.0,-0.228914
-50.0,-5.0,-45.0,0.190712,0.0,-0.231579
-50.0,-5.0,-44.0,0.187409,0.0,-0.234261
-50.0,-5.0,-43.0,0.183989,0.0,-0.236956
-50.0,-5.0,-42.0,0.180451,0.0,-0.239661
-50.0,-5.0,-41.0,0.17679,0.0,-0.242374
-50.0,-5.0,-40.0,0.173005,0.0,-0.24509
-50.0,-5.0,-39.0,0.169091,0.0,-0.247807
-50.0,-5.0,-38.0,0.165047,0.0,-0.250518
-50.0,-5.0,-37.0,0.16087,0.0,-0.253221
-50.0,-5.0,-36.0,0.156557,0.0,-0.25591
-50.0,-5.0,-35.0,0.152106,0.0,-0.25858
-50.0,-5.0,-34.0,0.147516,0.0,-0.261226
-50.0,-5.0,-33.0,0.142785,0.0,-0.263842
-50.0,-5.0,-32.0,0.137912,0.0,-0.266421
-50.0,-5.0,-31.0,0.132897,0.0,-0.268958
-50.0,-5.0,-30.0,0.127739,0.0,-0.271446
-50.0,-5.0,-29.0,0.122439,0.0,-0.273877
-50.0,-5.0,-28.0,0.116998,0.0,-0.276245
-50.0,-5.0,-27.0,0.111417,0.0,-0.278543
-50.0,-5.0,-26.0,0.105699,0.0,-0.280763
-50.0,-5.0,-25.0,0.099846,0.0,-0.282897
-50.0,-5.0,-24.0,0.093862,0.0,-0.284938
-50.0,-5.0,-23.0,0.087751,0.0,-0.286879
-50.0,-5.0,-22.0,0.081519,0.0,-0.288712
-50.0,-5.0,-21.0,0.07517,0.0,-0.29043
-50.0,-5.0,-20.0,0.068712,0.0,-0.292025
-50.0,-5.0,-19.0,0.062151,0.0,-0.293491
-50.0,-5.0,-18.0,0.055496,0.0,-0.294822
-50.0,-5.0,-17.0,0.048755,0.0,-0.296012
-50.0,-5.0,-16.0,0.041937,0.0,-0.297054
-50.0,-5.0,-15.0,0.035052,0.0,-0.297945
-50.0,-5.0,-14.0,0.028111,0.0,-0.29868
-50.0,-5.0,-13.0,0.021124,0.0,-0.299255
-50.0,-5.0,-12.0,0.014102,0.0,-0.299668
-50.0,-5.0,-11.0,0.007057,0.0,-0.299917
-50.0,-5.0,-10.0,-0.0,0.0,-0.3
-50.0,-5.0,-9.0,-0.007057,0.0,-0.299917
-50.0,-5.0,-8.0,-0.014102,0.0,-0.299668
-50.0,-5.0,-7.0,-0.021124,0.0,-0.299255
-50.0,-5.0,-6.0,-0.028111,0.0,-0.29868
-50.0,-5.0,-5.0,-0.035052,0.0,-0.297945
-50.0,-5.0,-4.0,-0.041937,0.0,-0.297054
-50.0,-5.0,-3.0,-0.048755,0.0,-0.296012
-50.0,-5.0,-2.0,-0.055496,0.0,-0.294822
-50.0,-5.0,-1.0,-0.062151,0.0,-0.293491
-50.0,-5.0,0.0,-0.068712,0.0,-0.292025
-50.0,-5.0,1.0,-0.07517,0.0,-0.29043
-50.0,-5.0,2.0,-0.081519,0.0,-0.288712
